ONS_ID,food_grocery_num_region_plus_buffer,food_grocery_num_per_1000_res_plus_buffer,food_grocery_dist_closest_3_popwt,food_grocery_pct_within_15_mins
0,129,0.127,2.606,0.543
3001,1,3.175,2.937,0
3002,1,0.129,1.415,0.559
3003,0,0,2.349,0.178
3004,1,0.129,1.334,0.948
3005,0,0,2.318,0.424
3006,0,NA,NA,NA
3007,2,0.383,1.655,0.593
3008,1,0.231,1.857,1
3009,4,0.66,0.922,0.966
3010,1,0.121,3.174,0.839
3011,2,0.219,1.527,0.872
3012,2,0.234,1.153,0.71
3013,0,0,1.458,0.717
3014,2,0.077,1.723,0.494
3015,2,0.233,1.15,0.899
3016,2,0.129,3.392,0.498
3017,0,0,2.62,0.468
3018,2,0.242,1.451,0.865
3019,0,0,NA,NA
3020,2,0.124,1.334,0.956
3021,0,0,10.586,0.003
3022,2,0.188,1.59,0.49
3023,0,0,2.629,0.08
3024,4,0.125,0.681,1
3025,0,0,2.073,0.472
3026,2,0.139,3.356,0.018
3027,1,0.083,1.329,0.844
3028,1,0.15,1.42,0.635
3029,0,0,1.585,0.377
3030,0,0,NA,NA
3031,0,0,19.841,0
3032,1,0.068,1.58,0.792
3033,0,0,13.429,0
3034,0,0,2.859,0.197
3035,3,0.361,1.518,0.594
3036,0,0,3.8,0.084
3037,0,0,4.427,0.021
3038,0,0,11.057,0.02
3039,0,0,9.692,0
3040,2,0.245,1.453,0.678
3041,2,0.345,1.117,0.77
3042,0,0,NA,NA
3043,1,0.056,1.968,0.426
3044,1,0.07,4.235,0.564
3045,5,1.103,1.138,0.673
3046,0,0,19.633,0.012
3047,4,0.295,0.791,0.911
3048,5,0.399,1.166,0.86
3049,1,0.094,8.113,0.101
3050,0,0,2.434,0.364
3051,1,6.25,3.45,0
3052,0,0,2.301,0
3053,0,0,1.3,0.646
3054,0,0,1.443,0.879
3055,1,0.091,1.017,1
3056,0,0,3.465,0.001
3057,0,0,NA,NA
3058,0,0,2.408,0.192
3059,2,0.364,0.729,1
3060,2,0.1,2.299,0.313
3061,4,0.35,1.157,0.948
3062,0,0,17.857,0
3063,2,0.175,1.194,0.92
3064,0,0,NA,NA
3065,3,0.214,1.086,0.909
3066,0,0,2.806,0
3067,1,0.145,0.88,1
3068,4,0.673,0.629,1
3069,1,0.124,1.336,0.627
3070,1,0.096,6.069,0.117
3071,0,0,14.485,0
3072,0,0,3.194,0
3073,0,0,11.563,0
3074,2,0.232,6.874,0.202
3075,0,0,14.047,0
3076,0,0,10.453,0
3077,0,0,1.413,0.967
3078,0,0,11.887,0
3079,1,0.041,1.588,0.648
3080,1,0.045,2.18,0.268
3081,1,0.06,2.001,0.473
3082,1,0.117,1.264,0.989
3083,1,0.154,1.042,0.941
3084,0,0,NA,NA
3085,1,0.088,1.233,0.851
3086,1,0.175,10.484,0.288
3087,4,0.189,1.093,0.863
3088,0,0,1.201,0.35
3089,0,0,1.625,0.352
3090,0,0,1.709,0.471
3091,6,0.2,2.094,0.314
3092,0,0,2.869,0
3093,0,0,1.453,0.78
3094,0,0,2.369,0
3095,2,0.195,1.48,0.66
3097,2,0.137,1.589,0.692
3098,0,0,2.19,0.017
3099,0,0,2.324,0.099
3100,1,0.052,2.918,0.317
3101,7,0.521,1.661,0.482
3102,0,0,1.068,0.859
3103,0,0,2.058,0.616
3104,2,0.145,1.163,0.779
3105,3,1.079,0.717,1
3106,2,0.09,2.724,0.251
3107,3,0.285,1.82,0.335
3108,2,0.156,1.9,0.658
3109,4,0.144,2.735,0.07
3110,1,0.213,2.787,0.517
3111,1,0.095,1.345,0.827
3112,2,0.273,1.108,1
3113,0,0,13.287,0
3114,0,0,2.112,0
3115,2,0.227,0.928,0.946
3116,3,0.244,0.987,0.92
3117,1,0.087,1.274,0.868
