ONS_ID,food_specialty_num_region,food_specialty_num_per_1000_res_plus_buffer,food_specialty_dist_closest_3_popwt,food_specialty_pct_within_15_mins
0,289,0.284,2.359,0.554
3001,0,0,3.96,0
3002,4,0.644,1.102,0.721
3003,8,0.697,0.667,1
3004,1,0.129,1.657,0.644
3005,1,0.15,1.631,0.74
3006,0,NA,NA,NA
3007,4,0.958,0.98,0.901
3008,1,0.231,1.39,0.384
3009,7,1.319,0.688,1
3010,1,0.121,2.682,0.838
3011,1,0.11,1.774,0.302
3012,1,0.117,1.313,0.47
3013,0,0,1.274,0.581
3014,0,0,2.766,0.043
3015,5,0.583,0.693,1
3016,3,0.193,2.795,0.366
3017,1,0.077,2.745,0.33
3018,2,0.485,0.812,0.95
3019,0,0,NA,NA
3020,2,0.124,1.417,0.786
3021,3,0.468,4.477,0.259
3022,1,0.094,1.628,0.637
3023,0,0,1.81,0.271
3024,15,0.47,0.46,1
3025,1,0.255,1.452,0.735
3026,4,0.347,2.836,0.074
3027,3,0.248,1.068,0.788
3028,9,1.354,1.071,0.949
3029,2,0.347,0.704,0.985
3030,1,50,NA,NA
3031,1,0.437,15.119,0.375
3032,1,0.068,1.814,0.378
3033,0,0,10.165,0
3034,1,0.114,1.615,0.236
3035,0,0,2.132,0.147
3036,0,0,2.186,0.084
3037,1,0.217,3.888,0.089
3038,0,0,11.438,0
3039,0,0,9.825,0.002
3040,1,0.123,1.267,0.927
3041,3,1.034,1.019,0.735
3042,0,100,NA,NA
3043,1,0.056,1.8,0.384
3044,0,0,6.469,0
3045,1,0.441,1.192,0.905
3046,0,0,15.034,0.006
3047,9,0.663,0.618,1
3048,6,0.638,1.37,0.822
3049,0,0,11.52,0
3050,0,0,2.003,0.271
3051,0,0,2.632,0
3052,0,0,1.776,0.581
3053,0,0,1.316,0.558
3054,1,0.147,1.34,0.831
3055,13,1.277,0.4,1
3056,1,0.118,1.353,0.973
3057,4,80,NA,NA
3058,4,0.679,0.925,1
3059,9,1.639,0.514,1
3060,7,0.351,1.96,0.363
3061,5,0.612,1.254,0.524
3062,1,0.376,8.875,0.005
3063,7,0.963,0.753,0.994
3064,0,0,NA,NA
3065,4,0.285,0.83,1
3066,0,0,1.83,0.104
3067,1,0.145,0.853,1
3068,20,3.535,0.451,1
3069,1,0.124,1.159,1
3070,4,0.383,3.625,0.21
3071,0,0,13.376,0
3072,0,0,3.629,0
3073,0,0,17.427,0
3074,2,0.232,4.06,0.331
3075,0,0,12.091,0
3076,0,0,9.978,0
3077,2,0.356,0.999,0.893
3078,0,0,11.115,0
3079,6,0.249,1.385,0.498
3080,2,0.09,1.654,0.517
3081,0,0,2.386,0.09
3082,1,0.117,1.09,0.989
3083,5,0.772,0.6,1
3084,2,40,NA,NA
3085,1,0.088,1.1,0.805
3086,0,0,12.981,0
3087,10,0.473,0.975,0.979
3088,2,0.339,0.883,1
3089,1,0.16,2.082,0.87
3090,1,0.164,1.254,0.975
3091,5,0.167,2.186,0.197
3092,0,0,1.118,0.768
3093,0,0,1.118,0.945
3094,0,0,1.832,0.297
3095,7,0.779,1.116,0.84
3097,0,0,1.483,0.5
3098,0,0,2,0.017
3099,0,0,2.185,0.188
3100,0,0,3.668,0
3101,6,0.521,1.467,0.548
3102,0,0,1.178,0.892
3103,2,0.273,1.414,0.729
3104,11,0.795,0.932,0.929
3105,3,1.079,0.828,1
3106,6,0.27,1.41,0.519
3107,2,0.19,1.898,0.221
3108,0,0,2.334,0.194
3109,0,0,3.452,0.04
3110,2,0.639,1.313,0.445
3111,1,0.381,0.699,1
3112,2,0.273,0.768,1
3113,0,0,13.388,0.055
3114,0,0,2.162,0
3115,9,1.022,0.402,1
3116,7,0.733,0.718,0.98
3117,3,0.262,1.033,0.932
